CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,BARRIO,COD_DISTRITO,NOM_DISTRITO
7,CL,AARON ,1,3,MANGAS VERDES ,3,CIUDAD JARDIN 
7,CL,AARON ,2,4,MANGAS VERDES ,3,CIUDAD JARDIN 
14,CL,ABADIA SANTA ANA,1,5,CENTRO HISTORICO,1,CENTRO
14,CL,ABADIA SANTA ANA,2,4,CENTRO HISTORICO,1,CENTRO
28,CL,ABARBANELL,1,7,VALLE DE LOS GALANES,2,ESTE
28,CL,ABARBANELL,2,6,VALLE DE LOS GALANES,2,ESTE
106,CL,ABDERRAMAN,1,27,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
106,CL,ABDERRAMAN,2,72,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
84,CL,ABEDUL,1,21,SANTA AGUEDA,9,CAMPANILLAS 
84,CL,ABEDUL,23,43,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
84,CL,ABEDUL,2,20,SANTA AGUEDA,9,CAMPANILLAS 
84,CL,ABEDUL,22,74,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
98,CL,ABEJARUCO ,1,9,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
98,CL,ABEJARUCO ,2,6,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
105,CL,ABEL,1,3,SANTA ROSALIA ,9,CAMPANILLAS 
105,CL,ABEL,2,2,SANTA ROSALIA ,9,CAMPANILLAS 
109,PJE ,ABEL SANCHEZ,1,13,GUADALMAR ,8,CHURRIANA 
109,PJE ,ABEL SANCHEZ,2,20,GUADALMAR ,8,CHURRIANA 
108,PSO ,ABEL SANCHEZ,1,31,GUADALMAR ,8,CHURRIANA 
108,PSO ,ABEL SANCHEZ,2,30,GUADALMAR ,8,CHURRIANA 
107,CL,ABENTOFAIL,1,27,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
107,CL,ABENTOFAIL,2,28,SANCHEZ BLANCA,6,CRUZ DE HUMILLADERO 
112,CL,ABETOS,1,33,EL TOMILLAR ,10,PUERTO DE LA TORRE
112,CL,ABETOS,2,42,EL TOMILLAR ,10,PUERTO DE LA TORRE
126,CL,ABINDARRAEZ ,1,3,CIUDAD JARD�N ,3,CIUDAD JARDIN 
126,CL,ABINDARRAEZ ,2,4,CIUDAD JARD�N ,3,CIUDAD JARDIN 
21436,AV,ABOGADO DE OFICIO ,1,1,HACIENDA BIZCOCHERO ,11,TEATINOS-UNIVERSIDAD
21436,AV,ABOGADO DE OFICIO ,2,2,HACIENDA BIZCOCHERO ,11,TEATINOS-UNIVERSIDAD
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,1,11,25 A�OS DE PAZ,7,CARRETERA DE CADIZ
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,13,25,ALASKA,7,CARRETERA DE CADIZ
140,CL,ABOGADO FEDERICO ORELLANA TOLEDANO,2,20,HUELIN,7,CARRETERA DE CADIZ
76692,CL,ABOGADO VICTORIANO FRIAS,1,25,EL PALO ,2,ESTE
76692,CL,ABOGADO VICTORIANO FRIAS,2,28,EL PALO ,2,ESTE
147,CL,ABRAHAM ,1,5,MANGAS VERDES ,3,CIUDAD JARDIN 
147,CL,ABRAHAM ,2,6,MANGAS VERDES ,3,CIUDAD JARDIN 
154,CL,ABUBILLA,1,5,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
154,CL,ABUBILLA,2,4,PORTADA ALTA,6,CRUZ DE HUMILLADERO 
168,CL,ABUL BEKA ,1,17,SANTA ISABEL,7,CARRETERA DE CADIZ
168,CL,ABUL BEKA ,2,32,SANTA ISABEL,7,CARRETERA DE CADIZ
224,PSO ,ACACIAS ,1,19,LAS ACACIAS ,2,ESTE
224,PSO ,ACACIAS ,2,26,LAS ACACIAS ,2,ESTE
196,CL,ACACIAS DE GUADALMAR,1,169,GUADALMAR ,8,CHURRIANA 
196,CL,ACACIAS DE GUADALMAR,2,42,GUADALMAR ,8,CHURRIANA 
225,CL,ACANTO,1,1,EL TORCAL ,7,CARRETERA DE CADIZ
225,CL,ACANTO,2,4,SAN CARLOS CONDOTE,7,CARRETERA DE CADIZ
227,CL,ACCION,1,7,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
227,CL,ACCION,2,8,HUERTA NUEVA-PTO TORRE,10,PUERTO DE LA TORRE
238,CL,ACEBUCHE,1,1,CARLOS HAYA ,4,BAILEN-MIRAFLORES 
238,CL,ACEBUCHE,2,2,CARLOS HAYA ,4,BAILEN-MIRAFLORES 
245,CL,ACEITERO,1,3,SAN JULIAN,8,CHURRIANA 
245,CL,ACEITERO,2,4,SAN JULIAN,8,CHURRIANA 
252,CL,ACEITUNAS LAS ,1,13,SIERRA BLANQUILLA ,1,CENTRO
252,CL,ACEITUNAS LAS ,2,6,SIERRA BLANQUILLA ,1,CENTRO
280,CL,ACEITUNO,1,21,EL OLIVAR ,8,CHURRIANA 
280,CL,ACEITUNO,2,40,EL OLIVAR ,8,CHURRIANA 
308,CL,ACEQUIA ,1,13,HUELIN,7,CARRETERA DE CADIZ
308,CL,ACEQUIA ,2,6,HUELIN,7,CARRETERA DE CADIZ
322,PL,ACINIPO ,1,3,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
322,PL,ACINIPO ,2,2,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
323,CL,ACTRIZ AMELIA DE LA TORRE ,1,21,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
323,CL,ACTRIZ AMELIA DE LA TORRE ,2,42,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
325,CL,ACTRIZ LA TIRANA,1,3,EL DUENDE ,6,CRUZ DE HUMILLADERO 
325,CL,ACTRIZ LA TIRANA,2,2,EL DUENDE ,6,CRUZ DE HUMILLADERO 
329,CL,ACTRIZ RAFAELA APARICIO ,1,9,OROZCO,10,PUERTO DE LA TORRE
329,CL,ACTRIZ RAFAELA APARICIO ,2,38,OROZCO,10,PUERTO DE LA TORRE
336,CL,ACTRIZ ROSARIO PINO ,1,41,CIUDAD JARD�N ,3,CIUDAD JARDIN 
336,CL,ACTRIZ ROSARIO PINO ,2,44,SEGALERVA ,1,CENTRO
350,CL,ACTUALIDAD,1,11,MONTE DORADO,3,CIUDAD JARDIN 
350,CL,ACTUALIDAD,2,20,MONTE DORADO,3,CIUDAD JARDIN 
364,CL,ADAJA ,1,5,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
364,CL,ADAJA ,2,10,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
392,CL,ADELA QUIGUISOLA,1,11,LA TRINIDAD ,1,CENTRO
392,CL,ADELA QUIGUISOLA,2,14,LA TRINIDAD ,1,CENTRO
441,CMNO,ADELFILLA DE LA ,1,9,SAN JOSE,3,CIUDAD JARDIN 
441,CMNO,ADELFILLA DE LA ,2,16,SAN JOSE,3,CIUDAD JARDIN 
444,CL,ADOLFO MARSILLACH ,1,3,LOMAS DE SAN ANTON,2,ESTE
444,CL,ADOLFO MARSILLACH ,5,5,PINARES DE SAN ANT�N,2,ESTE
444,CL,ADOLFO MARSILLACH ,7,27,LOMAS DE SAN ANTON,2,ESTE
444,CL,ADOLFO MARSILLACH ,2,26,LOMAS DE SAN ANTON,2,ESTE
82683,CL,ADOLFO SANCHEZ VAZQUEZ,1,5,IND SIEMENS ,6,CRUZ DE HUMILLADERO 
82683,CL,ADOLFO SANCHEZ VAZQUEZ,2,2,IND SIEMENS ,6,CRUZ DE HUMILLADERO 
21654,BV,ADOLFO SUAREZ ,1,67,DOS HERMANAS,7,CARRETERA DE CADIZ
21654,BV,ADOLFO SUAREZ ,69,95,NUEVO SAN ANDRES 1,7,CARRETERA DE CADIZ
21654,BV,ADOLFO SUAREZ ,2,32,POL IND RONDA EXTERIOR,6,CRUZ DE HUMILLADERO 
21654,BV,ADOLFO SUAREZ ,34,34,EL DUENDE ,6,CRUZ DE HUMILLADERO 
40277,CL,ADONIS,1,31,CAMPANILLAS ,9,CAMPANILLAS 
40277,CL,ADONIS,2,6,CAMPANILLAS ,9,CAMPANILLAS 
448,PJE ,ADRA,1,7,CRUZ DEL HUMILLADERO,6,CRUZ DE HUMILLADERO 
448,PJE ,ADRA,2,6,CRUZ DEL HUMILLADERO,6,CRUZ DE HUMILLADERO 
504,PL,ADUANA,1,3,CENTRO HISTORICO,1,CENTRO
504,PL,ADUANA,2,4,CENTRO HISTORICO,1,CENTRO
476,CL,ADUANAS ,1,17,CAMPANILLAS ,9,CAMPANILLAS 
476,CL,ADUANAS ,2,18,CAMPANILLAS ,9,CAMPANILLAS 
532,CTRA,AEROCLUB,1,7,IND SAN MIGUEL,8,CHURRIANA 
532,CTRA,AEROCLUB,2,26,AEROPUERTO BASE AEREA ,8,CHURRIANA 
532,CTRA,AEROCLUB,28,28,IND SAN MIGUEL,8,CHURRIANA 
546,CL,AEROLITO,1,3,SALINAS ,10,PUERTO DE LA TORRE
546,CL,AEROLITO,2,6,SALINAS ,10,PUERTO DE LA TORRE
51796,CL,AFGANISTAN,1,3,EL HIGUERAL ,7,CARRETERA DE CADIZ
51796,CL,AFGANISTAN,2,2,EL HIGUERAL ,7,CARRETERA DE CADIZ
21652,GTA ,AFICION MALAGUISTA,1,1,LA ROCA ,5,PALMA-PALMILLA
21652,GTA ,AFICION MALAGUISTA,2,2,LA ROCA ,5,PALMA-PALMILLA
560,CL,AFLIGIDOS ,1,5,CENTRO HISTORICO,1,CENTRO
560,CL,AFLIGIDOS ,2,2,CENTRO HISTORICO,1,CENTRO
5689,CL,AFRODITA,1,29,ARROYO ESPA�A ,10,PUERTO DE LA TORRE
5689,CL,AFRODITA,2,20,ARROYO ESPA�A ,10,PUERTO DE LA TORRE
567,CL,AGAPANTO,1,15,EL CORTIJUELO JUNTA CAMINOS ,10,PUERTO DE LA TORRE
567,CL,AGAPANTO,17,27,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
567,CL,AGAPANTO,2,20,EL CORTIJUELO JUNTA CAMINOS ,10,PUERTO DE LA TORRE
588,CL,AGATA ,1,3,COLMENAREJO ,9,CAMPANILLAS 
588,CL,AGATA ,5,59,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
588,CL,AGATA ,2,12,COLMENAREJO ,9,CAMPANILLAS 
588,CL,AGATA ,14,70,DSMO DM CAMPANILLAS ,9,CAMPANILLAS 
602,CL,AGATHA CHRISTIE ,1,13,SAN JOSE DEL VISO ,6,CRUZ DE HUMILLADERO 
602,CL,AGATHA CHRISTIE ,2,12,SAN JOSE DEL VISO ,6,CRUZ DE HUMILLADERO 
616,CL,AGATITA ,1,17,COLMENAREJO ,9,CAMPANILLAS 
616,CL,AGATITA ,2,20,COLMENAREJO ,9,CAMPANILLAS 
644,CMNO,AGROPECUARIO DE REALENGA,1,19,EL OLIVAR ,8,CHURRIANA 
644,CMNO,AGROPECUARIO DE REALENGA,2,2,SANTA TECLA ,8,CHURRIANA 
644,CMNO,AGROPECUARIO DE REALENGA,4,4,EL OLIVAR ,8,CHURRIANA 
680,CL,AGUA,1,23,LA VICTORIA ,1,CENTRO
680,CL,AGUA,2,26,LA VICTORIA ,1,CENTRO
36470,PL,AGUA,1,5,OLIAS ,2,ESTE
36470,PL,AGUA,2,10,OLIAS ,2,ESTE
700,CL,AGUACATES LOS ,1,5,CIUDAD JARD�N ,3,CIUDAD JARDIN 
700,CL,AGUACATES LOS ,7,17,LOS CIPRESES,3,CIUDAD JARDIN 
700,CL,AGUACATES LOS ,2,24,LOS CIPRESES,3,CIUDAD JARDIN 
80653,DSMO,AGUACIL ,1,1,DSMO DM ESTE,2,ESTE
81709,DSMO,AGUELITO EL ,1,1,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
728,CL,AGUILA,1,19,EL TOMILLAR ,10,PUERTO DE LA TORRE
728,CL,AGUILA,2,14,EL TOMILLAR ,10,PUERTO DE LA TORRE
756,CL,AGUILA MARINA ,1,13,JARAZMIN,2,ESTE
756,CL,AGUILA MARINA ,2,12,JARAZMIN,2,ESTE
81769,DSMO,AGUILAR ,1,1,DSMO DM PALMA-PALMILLA,5,PALMA-PALMILLA
784,CL,AGUILAR Y CANO,1,21,EL PALO ,2,ESTE
784,CL,AGUILAR Y CANO,2,22,EL PALO ,2,ESTE
798,CL,AGUILITA,1,3,SAN JULIAN,8,CHURRIANA 
798,CL,AGUILITA,2,4,SAN JULIAN,8,CHURRIANA 
826,CL,AGUJETA ,1,3,POL IND MI MALAGA ,8,CHURRIANA 
826,CL,AGUJETA ,2,4,POL IND MI MALAGA ,8,CHURRIANA 
840,CL,AGUSTIN DURAN ,1,13,REGIO ,7,CARRETERA DE CADIZ
840,CL,AGUSTIN DURAN ,2,18,REGIO ,7,CARRETERA DE CADIZ
854,CL,AGUSTIN MARTIN CARRION,1,15,LA UNION,6,CRUZ DE HUMILLADERO 
854,CL,AGUSTIN MARTIN CARRION,2,8,LA UNION,6,CRUZ DE HUMILLADERO 
72758,CL,AGUSTIN MONTES FUENTES,1,7,PARQUE AYALA,7,CARRETERA DE CADIZ
72758,CL,AGUSTIN MONTES FUENTES,2,6,PARQUE AYALA,7,CARRETERA DE CADIZ
26964,CL,AGUSTIN MORETO,1,15,LA VICTORIA ,1,CENTRO
26964,CL,AGUSTIN MORETO,2,18,LA VICTORIA ,1,CENTRO
868,CL,AGUSTIN PAREJO,1,47,PERCHEL NORTE ,1,CENTRO
868,CL,AGUSTIN PAREJO,2,24,PERCHEL NORTE ,1,CENTRO
80582,DSMO,AHUMADA LA,1,1,DSMO DM ESTE,2,ESTE
891,CL,AIDA,1,7,COLMENAREJO ,9,CAMPANILLAS 
891,CL,AIDA,2,10,COLMENAREJO ,9,CAMPANILLAS 
938,CL,ALABASTRO ,1,23,LA FABRICA,9,CAMPANILLAS 
938,CL,ALABASTRO ,2,12,LA FABRICA,9,CAMPANILLAS 
987,CL,ALAGON,1,7,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
987,CL,ALAGON,2,8,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
980,CL,ALAMOS,1,47,LA MERCED ,1,CENTRO
980,CL,ALAMOS,2,42,CENTRO HISTORICO,1,CENTRO
1008,CL,ALARCON ,1,7,EL MOLINILLO,1,CENTRO
1008,CL,ALARCON ,2,8,EL MOLINILLO,1,CENTRO
80449,DSMO,ALARCON ,1,1,DSMO DM ESTE,2,ESTE
1036,CL,ALARCON LUJAN ,1,15,CENTRO HISTORICO,1,CENTRO
1036,CL,ALARCON LUJAN ,2,12,CENTRO HISTORICO,1,CENTRO
1092,CL,ALAVA ,1,35,MIRAFLORES DEL PALO ,2,ESTE
1092,CL,ALAVA ,2,30,MIRAFLORES DEL PALO ,2,ESTE
1106,CL,ALAY,1,5,SIXTO ,7,CARRETERA DE CADIZ
1106,CL,ALAY,2,8,SIXTO ,7,CARRETERA DE CADIZ
1120,CL,ALAZORES,1,9,VISTAFRANCA ,7,CARRETERA DE CADIZ
1120,CL,ALAZORES,2,8,VISTAFRANCA ,7,CARRETERA DE CADIZ
1148,CL,ALBACETE,1,17,SUAREZ,4,BAILEN-MIRAFLORES 
1148,CL,ALBACETE,19,19,LOS CASTILLEJOS ,4,BAILEN-MIRAFLORES 
1148,CL,ALBACETE,2,6,SUAREZ,4,BAILEN-MIRAFLORES 
1148,CL,ALBACETE,8,10,PAVERO,4,BAILEN-MIRAFLORES 
1148,CL,ALBACETE,12,60,LOS CASTILLEJOS ,4,BAILEN-MIRAFLORES 
1162,CL,ALBAHACA,1,5,4 DE DICIEMBRE,6,CRUZ DE HUMILLADERO 
1162,CL,ALBAHACA,2,6,4 DE DICIEMBRE,6,CRUZ DE HUMILLADERO 
80761,DSMO,ALBAHACA LA ,1,1,DSMO DM ESTE,2,ESTE
1134,CL,ALBAN BERG,1,7,POL COM VALDICIO,7,CARRETERA DE CADIZ
1134,CL,ALBAN BERG,9,9,POL IND GUADALJAIRE ,7,CARRETERA DE CADIZ
1134,CL,ALBAN BERG,11,17,POL IND CARRANZA,7,CARRETERA DE CADIZ
1134,CL,ALBAN BERG,2,14,POL IND CARRANZA,7,CARRETERA DE CADIZ
1170,CL,ALBANIA ,1,5,POL IND CARAMBUCO ,9,CAMPANILLAS 
1170,CL,ALBANIA ,2,6,POL IND CARAMBUCO ,9,CAMPANILLAS 
1176,CL,ALBARICOCAL EL,1,15,SAN JUAN-EL ALBARICOCAL ,8,CHURRIANA 
1176,CL,ALBARICOCAL EL,2,14,SAN JUAN-EL ALBARICOCAL ,8,CHURRIANA 
82338,DSMO,ALBARICOCAL EL,1,1,EL RETIRO ,8,CHURRIANA 
82338,DSMO,ALBARICOCAL EL,3,3,DSMO DM CHURRIANA ,8,CHURRIANA 
82338,DSMO,ALBARICOCAL EL,2,2,EL RETIRO ,8,CHURRIANA 
82338,DSMO,ALBARICOCAL EL,4,4,DSMO DM CHURRIANA ,8,CHURRIANA 
1204,CL,ALBENIZ ,1,23,SEGALERVA ,1,CENTRO
1204,CL,ALBENIZ ,25,43,LAS FLORES,3,CIUDAD JARDIN 
1204,CL,ALBENIZ ,2,26,SEGALERVA ,1,CENTRO
1204,CL,ALBENIZ ,28,40,SAN MIGUEL,1,CENTRO
1232,CL,ALBERCA ,1,7,CIUDAD JARD�N ,3,CIUDAD JARDIN 
1232,CL,ALBERCA ,2,10,CIUDAD JARD�N ,3,CIUDAD JARDIN 
1246,CL,ALBERCHE,1,3,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
1246,CL,ALBERCHE,2,4,SANTA MARTA ,6,CRUZ DE HUMILLADERO 
1250,GTA ,ALBERT CAMUS,1,1,PERCHEL SUR ,1,CENTRO
1250,GTA ,ALBERT CAMUS,3,3,LA AURORA ,6,CRUZ DE HUMILLADERO 
1250,GTA ,ALBERT CAMUS,2,2,PERCHEL SUR ,1,CENTRO
1250,GTA ,ALBERT CAMUS,4,4,POL ALAMEDA ,6,CRUZ DE HUMILLADERO 
1251,CL,ALBERT EINSTEIN ,1,3,CIUDAD UNIVERSITARIA,11,TEATINOS-UNIVERSIDAD
1251,CL,ALBERT EINSTEIN ,2,4,CIUDAD UNIVERSITARIA,11,TEATINOS-UNIVERSIDAD
1253,CL,ALBERTILLAS ,1,7,CORTIJO VALLEJO ,7,CARRETERA DE CADIZ
1253,CL,ALBERTILLAS ,2,8,CORTIJO VALLEJO ,7,CARRETERA DE CADIZ
1255,CL,ALBERTO DURERO,1,7,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
1255,CL,ALBERTO DURERO,2,4,FUENTE ALEGRE ,10,PUERTO DE LA TORRE
1256,CL,ALBERTO GINASTERA ,1,39,LA MOSCA,2,ESTE
1256,CL,ALBERTO GINASTERA ,2,36,LA MOSCA,2,ESTE
1257,CL,ALBERTO INSUA ,1,1,25 A�OS DE PAZ,7,CARRETERA DE CADIZ
1257,CL,ALBERTO INSUA ,2,2,25 A�OS DE PAZ,7,CARRETERA DE CADIZ
1260,CL,ALBERTO LISTA ,1,13,PEDREGALEJO ,2,ESTE
1260,CL,ALBERTO LISTA ,2,8,PEDREGALEJO ,2,ESTE
1278,CL,ALBERTO PELAEZ DOMINGUEZ,1,17,HACIENDA PLATERO,8,CHURRIANA 
1278,CL,ALBERTO PELAEZ DOMINGUEZ,2,26,HACIENDA PLATERO,8,CHURRIANA 
"35878,JDIN,""ALBERTO SUAREZ """"PIPI"""" "",1,1,PLAYA VIRGINIA,2,ESTE"
"35878,JDIN,""ALBERTO SUAREZ """"PIPI"""" "",2,2,PLAYA VIRGINIA,2,ESTE"
1297,CL,ALBINONI,1,3,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
1297,CL,ALBINONI,2,10,PARQ EMP TREVENEZ ,9,CAMPANILLAS 
21553,PJE ,ALBORADA,1,1,EL TORCAL ,7,CARRETERA DE CADIZ
21553,PJE ,ALBORADA,2,2,EL TORCAL ,7,CARRETERA DE CADIZ
1288,CL,ALCABALAS ,1,11,CAMPANILLAS ,9,CAMPANILLAS 
1288,CL,ALCABALAS ,2,16,CAMPANILLAS ,9,CAMPANILLAS 
21629,CMNO,ALCABUCEROS DE LOS,1,81,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
21629,CMNO,ALCABUCEROS DE LOS,2,72,DISEMINADO DM P DE LA TORRE ,10,PUERTO DE LA TORRE
1316,CL,ALCAIDE DE LOS DONCELES ,1,23,SAN MIGUEL,1,CENTRO
1316,CL,ALCAIDE DE LOS DONCELES ,2,14,SAN MIGUEL,1,CENTRO
1330,CL,ALCALARE�O,1,9,NUEVO SAN ANDRES 1,7,CARRETERA DE CADIZ
1330,CL,ALCALARE�O,2,10,NUEVO SAN ANDRES 1,7,CARRETERA DE CADIZ
1344,CL,ALCALDE ALBERT POMATA ,1,3,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
1344,CL,ALCALDE ALBERT POMATA ,2,4,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
1372,CL,ALCALDE ANDRES VILCHEZ,1,17,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1372,CL,ALCALDE ANDRES VILCHEZ,2,22,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,1,17,CEMENTERIO SAN RAFAEL ,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,19,41,TIRO DE PICHON,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,2,26,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,28,28,CEMENTERIO SAN RAFAEL ,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,30,46,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1400,CL,ALCALDE ANTONIO VERDEJO ,48,54,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
65072,CL,ALCALDE BAEZA MEDINA,1,9,SEGALERVA ,1,CENTRO
65072,CL,ALCALDE BAEZA MEDINA,2,6,SEGALERVA ,1,CENTRO
1428,CL,ALCALDE BARRANCO CORDOBA,1,5,HERRERA ORIA,3,CIUDAD JARDIN 
1428,CL,ALCALDE BARRANCO CORDOBA,2,4,HERRERA ORIA,3,CIUDAD JARDIN 
1442,CL,ALCALDE BERNARDO MELENDEZ ,1,25,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1442,CL,ALCALDE BERNARDO MELENDEZ ,2,22,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1456,CL,ALCALDE CORRO DE BRESCA ,1,13,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1456,CL,ALCALDE CORRO DE BRESCA ,2,2,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1456,CL,ALCALDE CORRO DE BRESCA ,4,8,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
2072,CL,ALCALDE DE LAS PE�AS RODRIGUEZ,1,7,HERRERA ORIA,3,CIUDAD JARDIN 
2072,CL,ALCALDE DE LAS PE�AS RODRIGUEZ,9,11,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
2072,CL,ALCALDE DE LAS PE�AS RODRIGUEZ,2,8,HERRERA ORIA,3,CIUDAD JARDIN 
2072,CL,ALCALDE DE LAS PE�AS RODRIGUEZ,10,10,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
2086,PJE ,ALCALDE DE LAS PE�AS RODRIGUEZ,1,3,HERRERA ORIA,3,CIUDAD JARDIN 
2086,PJE ,ALCALDE DE LAS PE�AS RODRIGUEZ,2,6,HERRERA ORIA,3,CIUDAD JARDIN 
1484,CL,ALCALDE DIAZ ZAFRA,1,31,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1484,CL,ALCALDE DIAZ ZAFRA,33,47,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
1484,CL,ALCALDE DIAZ ZAFRA,2,26,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
1526,CL,ALCALDE EDUARDO CARVAJAL,1,27,CIUDAD JARD�N ,3,CIUDAD JARDIN 
1526,CL,ALCALDE EDUARDO CARVAJAL,2,10,PARQUE DEL SUR,3,CIUDAD JARDIN 
1512,CL,ALCALDE ENCINA CANDEBAT ,1,7,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
1512,CL,ALCALDE ENCINA CANDEBAT ,2,8,SAGRADA FAMILIA ,3,CIUDAD JARDIN 
1533,PL,ALCALDE ENRIQUE GOMEZ RODRIGUEZ ,1,9,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
1533,PL,ALCALDE ENRIQUE GOMEZ RODRIGUEZ ,2,8,SAN RAFAEL,6,CRUZ DE HUMILLADERO 
1536,CL,ALCALDE EUGENIO ENTRAMBASAGUAS,1,37,COLINAS DEL LIMONAR ,2,ESTE
1536,CL,ALCALDE EUGENIO ENTRAMBASAGUAS,2,36,COLINAS DEL LIMONAR ,2,ESTE
1540,CL,ALCALDE GARCIA ASENSIO,1,19,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1540,CL,ALCALDE GARCIA ASENSIO,2,18,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1568,CL,ALCALDE GARCIA SEGOVIA,1,7,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1568,CL,ALCALDE GARCIA SEGOVIA,2,8,IND ALCALDE DIAZ ZAFRA,6,CRUZ DE HUMILLADERO 
1596,CL,ALCALDE GARRET Y SOUTO,1,97,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1596,CL,ALCALDE GARRET Y SOUTO,2,92,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1624,CL,ALCALDE GOMEZ DE LA RIVA,1,35,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1624,CL,ALCALDE GOMEZ DE LA RIVA,2,30,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1652,CL,ALCALDE GOMEZ GOMEZ ,1,79,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1652,CL,ALCALDE GOMEZ GOMEZ ,2,92,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1680,CL,ALCALDE GUILLERMO REIN,1,135,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1680,CL,ALCALDE GUILLERMO REIN,2,162,PARQ EMP EL VISO,6,CRUZ DE HUMILLADERO 
1708,CL,ALCALDE GUTIERREZ BUENO ,1,11,COLONIA SANTA INES,11,TEATINOS-UNIVERSIDAD
1708,CL,ALCALDE GUTIERREZ BUENO ,13,21,LOS MOLINOS ,11,TEATINOS-UNIVERSIDAD
1708,CL,ALCALDE GUTIERREZ BUENO ,2,8,COLONIA SANTA INES,11,TEATINOS-UNIVERSIDAD
1708,CL,ALCALDE GUTIERREZ BUENO ,10,20,LOS MOLINOS ,11,TEATINOS-UNIVERSIDAD
1736,CL,ALCALDE ISIDORO ENCISO,1,11,POL IND CARRANZA,7,CARRETERA DE CADIZ
1736,CL,ALCALDE ISIDORO ENCISO,2,16,POL IND CARRANZA,7,CARRETERA DE CADIZ
1764,CL,ALCALDE JOAQUIN ALONSO,1,7,ARDIRA,7,CARRETERA DE CADIZ
1764,CL,ALCALDE JOAQUIN ALONSO,9,31,VISTAFRANCA ,7,CARRETERA DE CADIZ
1764,CL,ALCALDE JOAQUIN ALONSO,2,32,VISTAFRANCA ,7,CARRETERA DE CADIZ
